gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	0.4	2.29	4.39	0.63	1.46	0.38	2.47	7.94	0.98	4.5	5.2	5.73	7.03	8.21	3.32	6.99	0.02	0.18	9.2	1.95	9.72	0.38	7.02	3.82	1.31	4.99	5.02	0.35	4.58	4.27	5.89	7.67
gene1	5.65	4.17	7.41	7.72	3.84	4.36	2.47	7.55	7.81	5.47	8.77	9.79	8.4	8.59	9.9	2.91	9.65	6.52	5.67	7.7	8.55	4.03	4.01	8.3	3.33	4.11	6.01	8.95	4.96	2.42	1.35	1.23
gene2	8.98	3.76	4.91	8.78	1.45	0.76	0.6	6.14	6.63	2.83	6.91	8.35	0.12	3.63	6.48	8.49	6.83	6.06	0.71	8.04	8.08	7.12	1.4	3.22	9.48	0.39	1.53	7.98	8.19	7.43	2.76	9.94
gene3	7.55	3.34	7.4	2.93	3.54	3.64	7.89	2.38	1.73	2.66	9.44	2.57	8.4	9.23	5.27	8.98	1.11	5.02	7.0	4.64	4.12	5.76	6.76	3.17	8.23	3.98	8.4	2.36	6.8	7.72	7.57	6.08
gene4	3.56	9.01	3.45	3.89	4.25	5.45	5.98	5.65	4.59	6.48	7.57	4.36	8.97	1.25	7.83	4.74	1.45	2.04	7.51	7.75	4.42	9.83	9.57	2.45	2.74	2.03	8.52	9.5	1.42	5.98	2.33	5.39
gene5	4.67	6.3	3.75	6.92	6.74	2.66	0.5	2.13	8.98	4.38	2.35	4.57	8.56	6.09	2.54	5.92	9.62	9.61	5.48	1.61	2.29	4.9	0.1	9.84	1.67	0.52	8.89	8.38	3.37	2.65	1.5	1.88
gene6	7.72	0.72	2.87	1.74	5.02	9.32	9.34	5.92	1.38	8.9	6.69	7.55	1.42	9.01	9.36	3.38	0.37	2.82	1.21	0.3	2.99	6.58	3.88	3.01	5.74	1.9	0.57	3.69	6.22	3.55	7.1	7.34
gene7	4.38	5.46	1.04	3.44	9.21	3.0	7.35	7.11	7.1	4.38	9.23	2.6	0.48	7.61	8.77	8.84	7.04	2.12	9.99	0.12	5.84	1.41	4.69	4.25	8.71	9.79	1.37	5.02	3.43	5.44	9.18	3.45
gene8	5.42	9.81	2.2	5.57	0.53	4.62	5.56	4.36	9.41	8.14	5.33	4.84	4.19	2.96	8.21	7.74	6.74	2.69	9.64	9.11	6.56	2.31	5.87	5.57	5.02	8.07	9.17	0.4	8.47	3.94	6.54	5.22
gene9	0.24	3.47	1.01	2.35	8.18	0.69	8.95	0.19	1.95	8.14	0.97	6.86	3.48	5.02	1.28	7.13	1.96	6.7	3.77	2.43	1.56	7.71	7.94	7.76	7.03	4.39	2.43	9.58	3.61	9.7	1.23	5.68
gene10	4.11	9.99	3.54	1.74	9.8	5.69	8.8	7.68	1.66	7.16	2.75	3.71	3.64	2.48	7.79	8.3	2.92	7.13	4.52	6.1	0.61	0.82	4.2	0.91	5.43	1.78	1.43	2.49	7.02	5.31	4.3	8.83
gene11	4.77	2.03	9.13	7.68	4.51	8.05	8.49	3.11	1.28	2.31	9.65	9.66	7.39	0.48	9.58	1.61	9.31	9.91	1.93	7.39	6.87	6.98	6.8	3.45	4.16	8.32	8.87	1.33	1.43	4.92	9.47	8.37
gene12	4.77	7.86	4.76	8.07	3.82	8.49	2.03	7.22	4.36	1.49	8.9	5.53	6.49	9.25	2.23	2.73	9.67	5.63	6.48	5.78	3.06	8.6	6.98	9.08	1.09	5.99	1.83	3.74	3.08	3.51	0.44	3.66
gene13	5.73	9.74	5.08	2.97	5.84	8.49	8.45	0.46	5.74	2.82	1.32	8.18	3.71	3.52	7.56	9.92	4.08	9.07	4.35	5.12	1.76	1.7	3.1	0.26	5.12	6.76	1.69	5.89	5.32	0.46	9.42	5.7
gene14	5.07	8.29	4.06	5.95	7.9	1.74	2.15	8.41	1.76	4.56	3.39	1.4	6.68	5.07	8.73	3.99	3.27	4.08	6.17	6.02	6.95	2.0	2.45	3.11	4.1	1.47	0.23	8.34	1.39	6.22	6.86	9.62
gene15	1.28	0.32	4.37	3.82	6.83	9.43	2.46	0.04	6.76	0.75	8.52	1.15	5.77	8.54	8.65	8.24	9.14	0.68	4.89	0.53	8.39	5.72	3.83	0.61	1.64	3.03	6.6	7.91	7.79	9.1	2.02	7.64
gene16	5.36	8.82	7.13	2.94	2.68	8.64	1.47	5.34	1.8	6.07	2.54	0.75	5.08	8.59	2.86	4.77	7.1	8.59	2.08	5.83	3.89	6.5	7.24	4.25	5.54	7.77	3.67	4.32	4.33	8.96	0.91	3.11
gene17	5.31	5.85	3.31	0.55	2.59	9.78	7.13	4.2	0.99	1.81	7.73	2.48	1.48	5.21	6.09	9.19	2.31	0.36	7.6	8.16	5.77	3.44	7.4	8.42	6.9	0.75	6.8	8.3	5.2	1.07	5.46	6.5
gene18	4.61	6.7	9.36	8.28	5.48	9.91	1.11	3.58	8.24	9.62	5.35	3.3	9.87	2.02	9.13	4.35	1.99	0.66	6.48	9.72	1.74	0.71	8.31	0.31	6.91	6.83	3.09	9.39	6.11	5.93	1.35	0.6
gene19	5.16	7.61	2.07	7.56	4.16	0.31	1.76	2.32	1.19	6.27	3.89	3.85	1.75	2.6	5.25	1.23	6.02	2.77	7.88	0.1	0.48	5.21	6.56	1.03	5.78	4.44	8.5	6.22	4.34	2.03	8.31	7.31
gene20	1.35	7.85	8.04	3.13	5.2	6.88	8.5	1.8	5.05	4.57	6.93	5.11	5.91	6.12	6.9	5.76	4.45	5.49	8.91	7.92	8.89	3.88	1.27	7.5	9.62	2.98	1.44	6.24	8.55	1.47	1.9	0.07
gene21	7.29	3.42	1.43	6.04	9.3	8.37	3.47	6.26	3.87	5.28	6.43	8.99	5.93	2.44	1.47	8.49	0.75	3.64	6.7	1.09	8.88	0.62	9.62	2.35	4.66	6.74	4.93	8.13	9.13	2.07	7.02	4.76
gene22	5.61	7.9	1.4	6.96	7.73	6.45	7.19	9.65	0.26	9.97	9.79	8.09	7.68	0.06	7.92	3.05	6.32	6.51	0.42	1.27	6.89	4.01	2.66	5.76	5.81	7.62	3.1	7.24	6.64	0.37	4.18	4.71
gene23	2.7	4.93	9.44	4.58	9.21	7.83	0.5	4.01	4.26	8.4	7.54	1.06	3.16	6.11	3.7	7.15	2.06	2.91	2.97	3.44	5.25	7.85	3.25	0.02	6.93	5.3	9.64	8.25	2.89	0.53	0.85	3.8
gene24	9.75	5.13	3.11	2.8	7.57	2.5	4.5	1.91	9.78	1.51	8.85	4.67	2.18	1.86	9.34	5.38	4.57	6.81	9.48	1.89	9.71	3.57	8.77	1.55	9.73	6.47	4.02	6.54	9.48	8.39	7.49	3.76
gene25	6.12	9.26	4.94	3.72	8.69	8.72	6.52	3.22	3.29	8.93	7.41	4.28	4.23	3.43	1.95	4.49	4.93	0.31	6.97	6.44	2.93	4.49	4.32	1.46	2.95	6.48	2.14	4.36	7.87	0.15	3.11	2.66
gene26	8.23	2.71	4.58	4.45	0.51	3.46	7.95	4.32	9.48	2.7	0.12	4.48	5.48	3.37	2.34	1.24	6.3	0.53	5.22	9.02	0.18	1.45	1.79	5.14	6.47	8.89	1.14	9.78	7.88	5.68	1.59	1.58
gene27	3.79	6.72	3.22	7.91	2.93	8.46	9.65	3.3	2.59	2.91	6.18	9.93	9.59	5.1	1.19	2.94	1.52	7.38	6.01	5.76	3.7	5.19	4.58	2.24	6.76	5.68	1.84	1.45	9.12	4.91	1.05	0.55
gene28	4.45	1.09	2.47	2.36	4.17	9.69	9.36	9.24	5.0	3.89	5.61	7.75	9.88	6.47	2.73	5.57	7.84	9.65	6.64	5.03	1.11	5.5	1.86	9.4	3.52	2.53	9.87	6.98	5.96	2.66	8.48	0.66
gene29	3.74	0.38	4.38	1.75	5.79	3.77	3.75	2.07	7.98	3.74	4.9	7.77	1.58	8.23	4.93	4.59	8.58	8.92	4.43	5.02	6.05	6.6	4.63	9.24	2.57	3.74	4.56	6.23	6.0	5.19	6.99	7.94
gene30	0.83	1.42	2.92	7.27	7.17	3.61	7.3	7.31	7.15	7.81	4.29	6.43	9.5	5.37	8.84	4.02	7.73	9.99	3.58	9.18	7.39	5.52	4.58	9.53	3.45	8.4	7.63	7.62	7.57	4.43	3.29	3.0
gene31	8.76	2.25	9.82	2.1	0.18	7.98	4.19	7.76	9.77	4.13	6.63	4.96	2.22	2.94	3.93	7.49	5.16	6.26	4.6	2.74	2.92	4.15	8.46	4.72	4.97	0.14	2.0	8.7	8.29	5.4	6.14	9.84
gene32	1.7	0.11	5.11	2.07	7.62	2.32	7.69	9.37	1.0	1.21	6.75	7.25	3.0	9.51	5.99	4.03	3.08	2.06	0.44	0.9	7.66	8.13	5.24	9.68	7.86	5.22	8.69	7.74	4.75	7.05	7.47	9.92
gene33	6.52	4.67	9.6	3.15	0.69	9.04	7.94	2.47	6.32	6.02	0.49	2.65	0.05	7.95	6.78	9.23	9.39	6.98	7.49	4.11	1.74	5.62	9.7	7.82	4.74	6.03	7.98	4.34	6.39	5.87	1.7	4.71
gene34	5.39	0.59	2.26	3.03	3.63	3.55	4.54	5.32	4.58	0.98	2.66	4.26	7.2	1.88	4.06	8.7	2.74	5.42	6.8	7.79	3.13	2.3	4.2	0.85	7.14	0.82	8.03	7.3	0.11	2.26	0.64	0.59
gene35	1.54	7.73	3.34	5.2	3.44	5.31	7.09	4.61	1.21	3.4	0.04	6.34	1.46	4.76	7.99	1.37	8.27	6.12	0.23	6.94	1.97	8.26	4.98	2.27	3.71	3.75	5.51	8.47	1.08	0.98	3.77	8.72
gene36	5.82	1.25	1.1	6.88	1.12	6.89	5.3	8.71	5.81	8.68	6.56	3.91	8.22	1.32	5.6	1.7	8.36	7.28	8.36	6.11	5.97	6.7	5.3	9.72	9.48	0.25	9.92	7.54	7.87	4.99	9.58	3.5
gene37	0.37	9.28	9.08	6.94	0.55	8.61	1.44	9.76	4.89	9.43	3.37	6.99	6.62	3.43	0.64	6.58	4.39	4.72	4.03	5.57	6.18	1.41	0.67	5.84	5.83	6.4	2.75	9.41	2.62	3.4	0.16	4.29
gene38	2.35	1.14	8.47	5.66	6.34	9.1	9.31	2.56	8.49	8.48	2.85	6.73	9.98	5.33	2.09	1.71	1.7	0.84	2.43	4.48	1.9	0.06	4.23	4.65	7.28	2.07	6.54	0.96	7.69	0.95	8.98	7.22
gene39	8.79	9.86	1.22	1.18	0.37	6.81	7.64	5.61	7.74	1.3	2.35	0.87	7.11	4.57	9.38	6.84	5.5	9.37	7.18	0.37	9.37	7.31	9.29	6.84	7.98	7.84	0.04	0.7	6.78	1.85	2.43	4.05
