gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	1.23	6.73	0.15	6.99	8.8	0.61	1.03	5.15	1.83	9.13	8.3	5.35	2.69	4.37	3.4	1.57	6.49	0.44	1.03	6.57	0.72	3.0	6.36	3.92	3.63	9.42	9.46	3.05	3.36	7.43	2.68	2.55
gene1	8.34	3.74	8.59	1.4	1.71	9.99	4.26	9.01	4.12	3.66	8.49	4.26	3.02	8.44	8.61	4.63	0.44	3.89	5.71	7.12	2.47	2.48	6.18	9.81	5.58	3.44	2.98	2.62	7.49	4.18	9.61	8.56
gene2	1.24	3.85	8.29	8.62	7.39	0.37	6.87	8.13	5.06	7.84	8.85	4.32	5.74	0.46	8.25	4.89	3.75	1.34	3.28	1.89	1.09	2.68	5.04	0.11	0.13	8.78	3.09	3.81	1.84	4.56	2.9	0.96
gene3	4.08	4.72	3.09	9.36	2.82	9.82	3.81	7.75	5.68	7.65	2.18	2.6	0.48	3.57	8.62	4.2	9.23	9.39	2.42	1.76	8.15	7.35	5.88	2.74	7.79	1.12	0.06	4.93	5.0	7.56	4.43	3.73
gene4	4.51	3.55	1.09	4.22	8.39	9.56	3.37	4.76	2.37	2.63	0.43	4.62	6.86	9.21	7.49	0.34	8.37	8.75	5.65	6.13	8.15	3.63	2.82	4.16	0.93	3.61	7.02	7.57	3.6	5.64	8.06	3.72
gene5	0.76	9.18	8.33	9.62	8.87	5.68	1.18	7.58	7.52	7.22	0.21	8.55	0.98	6.01	1.91	4.97	5.53	5.23	5.86	9.78	1.89	9.06	0.52	0.78	7.56	8.93	6.0	2.36	6.99	0.54	3.52	3.72
gene6	5.23	8.68	6.16	3.44	1.17	9.72	7.16	9.44	2.68	7.75	2.94	3.82	3.34	7.15	5.04	7.64	5.96	2.39	2.95	4.84	1.33	8.84	3.38	0.15	8.8	9.74	6.9	4.51	3.73	2.86	0.8	2.83
gene7	2.15	1.21	4.51	1.05	4.13	7.67	4.57	0.43	9.8	5.72	4.43	7.4	1.88	9.52	9.12	8.58	1.65	8.48	5.88	3.03	1.94	2.96	2.13	7.4	7.12	8.99	6.14	1.45	5.0	3.93	8.87	4.96
gene8	1.7	9.29	1.05	3.93	3.74	6.39	0.25	3.49	6.73	1.99	2.16	4.32	2.23	1.45	0.43	9.31	3.31	3.52	2.38	2.03	5.23	2.39	7.86	9.02	6.91	7.51	8.14	8.72	4.79	9.41	9.09	5.87
gene9	1.07	8.95	7.16	3.5	9.38	7.01	9.07	1.61	9.21	6.69	8.39	7.03	0.4	0.93	3.86	7.35	9.54	8.71	6.77	0.28	0.98	0.61	0.22	6.62	7.89	1.39	3.48	1.14	7.41	8.54	0.82	3.28
gene10	7.07	7.86	8.94	6.79	7.67	0.69	10.0	0.99	1.38	6.44	4.86	9.15	2.7	3.78	9.32	2.59	5.9	8.05	8.98	6.71	2.14	0.11	3.95	7.31	3.74	3.86	6.58	5.35	6.68	6.82	7.06	9.15
gene11	0.81	7.87	3.08	4.07	2.04	2.53	3.58	1.14	4.89	6.84	8.2	3.66	4.43	4.38	0.52	8.49	0.01	2.65	3.12	0.13	4.38	7.39	5.82	3.42	5.0	3.1	6.85	9.0	5.2	6.62	8.14	1.4
gene12	3.24	4.14	0.06	9.37	8.46	1.9	5.7	8.0	6.29	0.71	8.56	0.5	5.59	9.4	5.23	9.59	6.71	9.88	2.56	6.91	4.13	4.29	5.46	5.66	2.67	4.31	7.03	3.76	7.27	7.09	4.6	7.32
gene13	9.81	1.96	3.59	0.72	6.43	8.92	4.23	1.48	9.27	1.92	6.84	3.95	7.6	6.27	7.42	4.69	7.59	5.93	3.43	9.46	9.69	3.29	9.56	5.97	6.73	7.7	7.5	8.92	5.85	5.38	1.54	6.67
gene14	1.93	5.38	8.96	5.45	2.52	7.68	3.89	4.69	7.43	0.23	5.03	4.91	4.53	9.74	6.6	6.95	7.37	9.47	9.71	8.46	2.42	3.25	5.99	5.24	3.42	9.59	1.85	9.91	9.21	3.73	6.0	8.69
gene15	5.1	0.91	3.54	3.52	1.15	0.07	9.63	8.77	3.34	7.42	4.75	3.35	1.18	1.18	8.62	5.23	5.94	4.34	1.0	4.43	6.48	8.96	1.31	7.27	3.78	3.64	9.7	7.98	4.18	1.98	1.58	5.17
gene16	1.81	5.65	8.83	1.31	9.44	6.78	1.64	1.23	9.5	5.99	9.43	8.13	1.93	5.34	1.32	0.99	4.93	9.52	8.15	0.75	6.94	6.43	8.41	9.29	9.1	9.01	7.95	5.62	3.19	1.38	3.3	0.29
gene17	5.9	6.12	8.5	8.05	1.79	9.21	8.64	5.99	8.59	4.55	7.07	6.91	9.55	3.95	1.44	7.07	3.14	1.22	2.75	8.72	8.9	5.2	1.35	1.01	3.88	8.97	2.85	0.04	6.72	2.19	7.07	1.5
gene18	8.43	6.1	8.77	3.35	6.12	4.28	9.54	4.03	6.46	0.97	8.06	6.53	3.32	6.23	6.05	8.53	1.64	1.82	9.88	1.67	6.24	7.45	3.1	8.32	8.93	9.01	7.06	7.94	7.08	4.71	7.02	5.85
