gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	9.35	0.06	7.89	7.16	6.42	1.02	6.93	7.31	3.43	4.93	3.43	1.01	3.79	7.1	9.75	6.68	9.45	5.73	4.31	6.29	4.11	7.91	1.94	5.26	6.91	8.47	8.24	8.76	6.18	4.16	8.47	9.98
gene1	2.06	8.17	9.28	7.17	8.07	8.41	7.86	6.95	8.96	6.25	7.66	1.68	1.46	9.57	9.46	2.24	5.72	1.02	0.42	9.41	9.19	0.47	2.1	9.38	4.42	7.21	3.23	3.55	9.44	4.02	1.44	7.91
gene2	4.82	0.31	9.37	5.42	9.83	7.98	2.44	6.05	6.63	3.5	3.24	4.24	3.64	6.44	3.45	7.4	9.35	6.85	9.39	0.41	9.33	9.36	4.04	7.81	3.83	5.57	5.63	8.4	9.35	0.88	9.6	5.29
gene3	5.07	1.68	3.66	0.74	5.56	0.64	9.37	8.44	2.63	8.52	2.01	3.68	8.91	6.49	8.44	2.13	3.38	0.49	5.67	5.96	9.84	5.88	4.73	3.73	2.12	6.21	9.82	0.39	1.33	6.01	5.21	4.22
gene4	7.89	8.11	1.33	10.0	4.33	5.03	1.74	8.9	6.5	7.05	9.59	0.76	9.05	0.4	3.67	2.87	4.67	1.07	9.73	0.38	5.8	2.19	1.39	9.84	8.16	5.42	5.95	3.91	8.24	0.26	4.5	6.73
gene5	3.36	4.22	4.73	6.65	9.06	8.59	8.52	3.31	4.27	0.69	5.22	3.53	3.39	0.66	0.47	0.68	2.69	1.76	0.98	8.27	8.67	3.48	6.14	2.9	7.12	3.53	8.03	3.6	9.63	2.54	1.87	0.62
gene6	6.33	9.22	3.84	6.89	4.05	9.92	0.15	3.84	9.09	2.33	0.56	7.14	2.55	7.31	8.94	3.88	3.51	0.86	4.86	8.37	0.22	9.5	7.99	2.06	1.69	6.78	1.93	1.87	3.16	1.65	3.73	7.59
gene7	3.54	6.5	7.14	6.17	6.04	4.46	4.91	0.77	3.81	2.68	7.58	9.27	7.35	2.04	8.46	8.45	8.77	2.83	0.05	7.68	2.21	1.53	9.48	6.01	1.22	1.64	7.63	8.61	3.56	2.14	0.18	1.1
gene8	5.82	7.63	6.4	7.16	0.63	8.4	0.55	9.3	2.36	7.48	4.0	0.48	1.87	7.75	3.4	9.84	8.75	9.07	9.88	6.28	1.02	4.79	1.62	9.25	7.44	9.85	7.7	3.09	9.3	2.29	7.13	5.57
gene9	7.37	6.32	3.72	7.39	5.81	1.26	5.03	0.45	0.31	1.92	8.42	5.81	5.75	8.83	6.98	4.47	9.37	5.79	9.33	3.53	5.04	9.24	0.02	0.32	8.56	0.56	2.06	7.84	2.08	9.81	2.33	0.54
gene10	0.47	2.84	1.15	6.18	4.15	0.57	9.25	1.01	4.83	2.61	4.05	8.62	8.56	4.94	5.38	6.89	9.98	3.29	5.92	7.91	4.57	5.07	9.68	9.21	6.39	7.96	3.37	5.95	6.21	4.83	6.39	7.79
gene11	7.81	2.76	8.53	8.72	3.12	6.86	3.73	3.4	6.81	1.36	4.01	1.84	2.13	8.6	5.21	5.08	6.62	0.1	7.01	7.06	3.61	1.1	4.57	6.11	7.11	2.65	6.6	6.29	6.68	6.06	6.6	4.74
gene12	6.84	5.68	2.7	4.33	4.17	0.9	3.66	9.13	3.1	7.33	2.23	5.89	1.98	2.02	8.01	4.54	9.27	2.09	2.56	8.62	1.15	9.94	0.68	7.09	0.59	3.47	9.15	5.01	3.1	2.19	4.0	2.12
gene13	3.43	6.78	4.85	2.67	9.69	2.09	2.84	7.1	1.07	6.1	6.48	0.78	4.93	7.63	4.11	5.3	1.41	1.33	5.87	8.09	9.95	7.38	5.01	4.49	2.36	9.94	1.69	8.11	1.49	8.35	6.99	1.8
gene14	7.03	2.64	9.96	8.03	9.64	6.66	2.79	6.52	1.1	5.86	2.34	3.97	4.81	5.12	4.47	5.52	8.69	7.34	6.86	2.35	3.22	6.75	3.7	3.22	9.75	4.04	7.66	4.07	9.04	2.55	3.97	2.32
gene15	6.86	7.82	5.77	10.0	1.17	1.71	2.97	1.37	8.45	6.04	8.07	0.64	6.6	2.97	4.61	6.51	6.3	8.88	0.73	6.68	1.14	2.56	2.88	6.12	0.47	8.98	3.51	5.31	0.19	4.47	2.43	1.29
gene16	0.46	5.81	3.11	2.85	2.76	6.69	8.9	2.15	3.67	5.29	6.51	0.02	6.65	6.42	1.87	7.41	5.69	1.02	8.01	6.39	4.97	1.44	2.55	3.08	1.28	3.67	3.45	7.62	5.41	4.18	7.59	8.56
gene17	4.17	9.82	7.07	4.78	8.12	8.71	4.03	1.38	6.69	2.27	2.84	2.84	0.82	1.36	8.08	3.1	2.97	3.47	2.21	2.02	8.51	6.53	5.12	6.59	6.46	3.78	1.15	9.39	2.65	6.5	4.33	5.88
gene18	1.08	9.22	5.61	1.42	1.28	2.42	4.83	1.02	6.67	3.05	2.94	7.58	9.67	2.0	6.62	1.29	7.52	9.89	6.86	0.49	8.09	1.5	5.7	9.34	7.52	6.27	4.97	0.9	7.32	1.56	2.13	2.9
gene19	3.72	3.1	9.77	6.48	3.68	9.24	6.6	0.84	6.86	2.05	6.14	4.12	6.28	7.65	9.44	8.54	2.29	4.21	6.06	4.73	5.9	1.29	5.33	2.47	7.66	2.72	2.87	6.25	0.75	0.83	3.84	8.58
gene20	4.43	6.88	4.86	7.67	9.01	6.79	6.54	6.18	3.78	6.84	7.69	1.71	5.9	0.4	1.08	8.8	2.47	3.71	6.2	4.44	9.41	6.72	4.09	5.5	1.78	5.6	7.69	3.51	5.27	9.37	3.05	4.42
gene21	1.29	1.97	8.68	1.0	7.54	7.93	1.73	6.91	8.63	5.69	8.43	1.83	6.47	6.95	2.13	3.15	0.47	8.95	5.18	4.59	6.3	4.15	1.29	7.58	4.99	8.55	4.72	9.5	5.7	1.53	0.79	8.63
gene22	5.21	4.28	0.86	9.63	6.34	3.85	9.95	0.96	1.74	4.84	4.05	6.62	8.93	4.38	8.95	0.71	1.9	7.72	5.55	8.12	0.52	8.44	0.47	8.2	9.1	6.11	7.61	3.89	0.91	7.81	1.87	5.21
gene23	4.3	6.88	1.95	1.03	1.9	4.69	8.44	0.84	6.17	6.84	4.98	7.54	3.08	4.04	4.61	2.19	0.56	2.74	0.32	4.63	9.63	2.83	9.37	8.27	2.95	2.07	0.8	4.73	0.58	9.11	3.25	5.74
gene24	2.51	5.54	4.04	5.89	6.34	7.75	5.79	0.98	8.61	7.97	6.08	3.85	8.01	8.88	4.21	3.38	9.72	6.56	4.0	9.31	1.47	2.52	3.42	9.53	7.57	7.81	6.39	0.22	1.31	2.47	4.43	8.11
gene25	7.67	4.38	0.37	1.23	9.65	9.7	2.29	9.61	9.07	8.92	5.97	5.59	8.05	7.51	1.81	6.95	3.61	1.18	0.78	1.33	3.76	1.08	3.34	1.47	9.25	9.36	2.76	0.87	6.54	8.09	6.96	7.76
gene26	1.8	6.65	0.34	1.42	3.15	8.85	1.75	1.46	8.81	1.59	7.61	7.74	7.04	0.03	6.53	3.78	6.57	0.09	7.34	4.23	4.2	3.29	0.01	3.3	7.65	4.88	6.65	4.58	3.39	5.9	0.43	5.82
gene27	4.0	4.84	2.11	4.35	5.58	0.14	5.78	1.3	1.02	8.8	2.25	4.59	6.18	9.55	1.02	5.07	6.35	9.86	0.26	1.95	8.53	0.28	4.58	6.48	7.67	5.67	6.28	1.43	0.9	8.36	4.37	4.35
gene28	6.81	6.63	8.21	3.0	5.82	6.91	4.66	6.06	5.68	1.56	7.45	7.25	2.0	0.7	2.02	4.23	6.62	0.79	5.57	9.26	6.03	2.35	9.46	5.75	3.56	3.96	6.86	5.28	3.03	9.48	3.89	9.39
gene29	6.02	4.86	5.52	6.63	9.41	3.53	6.57	7.8	3.81	2.53	4.39	4.73	4.03	6.93	6.14	5.77	0.95	2.58	0.12	6.16	1.72	9.85	2.78	3.73	3.63	1.98	9.56	3.92	7.17	0.94	5.92	6.34
gene30	4.22	3.28	1.93	7.93	7.35	4.27	1.74	0.77	5.26	9.45	2.32	8.66	3.66	9.5	4.31	6.83	3.67	4.1	9.94	2.61	7.39	2.58	1.53	7.68	2.44	5.52	9.14	3.78	5.4	6.83	8.38	0.92
gene31	9.94	7.63	0.72	5.69	0.92	1.68	8.79	6.41	0.44	7.09	2.68	7.66	4.8	3.88	1.59	7.24	3.47	6.68	0.12	3.38	9.76	7.37	2.35	9.21	9.6	6.1	3.59	1.5	3.9	9.53	4.15	1.68
gene32	1.26	5.99	7.19	8.82	0.41	5.83	3.23	9.58	0.24	5.58	6.63	0.88	6.14	9.69	8.54	2.23	2.48	2.97	8.76	0.04	8.92	5.84	8.34	8.68	1.04	3.5	7.4	3.26	9.08	8.1	3.25	0.79
gene33	6.3	2.34	3.36	4.94	7.37	1.57	4.37	1.63	7.08	2.96	1.65	7.45	3.22	4.06	4.21	9.96	5.67	7.67	3.2	5.36	2.28	1.94	3.28	5.98	0.27	2.46	1.75	7.89	2.26	0.16	8.47	2.29
gene34	3.96	5.8	5.89	1.07	4.12	4.19	8.81	4.94	9.22	5.46	8.16	6.91	3.25	3.03	1.19	6.54	3.12	0.35	5.95	9.97	3.2	7.74	3.36	7.94	7.6	8.59	9.75	0.04	3.42	8.99	6.69	6.33
gene35	8.61	0.13	6.64	7.45	4.04	2.11	8.74	5.96	2.15	8.13	6.54	5.11	5.55	5.1	1.78	9.26	8.22	9.78	9.05	0.13	0.18	8.27	9.16	0.61	4.64	5.28	2.09	2.38	5.33	4.01	6.8	1.5
gene36	4.3	7.06	9.21	9.5	7.89	3.41	1.88	2.4	0.78	7.06	6.69	9.95	1.12	4.37	9.45	6.98	3.34	3.03	4.53	5.47	8.18	8.14	2.03	4.89	1.0	2.01	3.16	3.71	8.46	3.17	7.18	8.47
gene37	9.95	3.91	5.16	4.79	6.91	1.98	7.98	3.05	1.27	6.92	4.27	2.78	6.53	3.15	2.54	4.07	9.19	5.89	6.29	2.59	7.2	3.83	3.84	0.88	1.88	5.64	2.02	5.4	4.43	7.35	4.3	0.13
gene38	6.6	5.59	5.14	8.49	4.4	8.87	2.82	4.34	3.84	7.8	4.65	9.52	0.93	6.44	9.82	2.73	6.53	3.16	7.8	0.79	8.01	3.46	8.82	5.0	4.29	9.25	9.73	4.5	1.58	2.31	8.17	7.78
gene39	7.04	5.39	8.51	3.53	8.95	9.51	6.79	8.42	4.66	4.6	5.49	3.91	2.95	3.9	5.39	1.24	0.5	6.23	8.86	9.36	6.64	2.5	5.11	5.33	6.93	3.53	9.83	3.03	9.57	9.42	3.3	5.09
gene40	4.9	1.0	8.55	1.05	6.49	4.78	2.67	5.7	5.47	2.64	1.64	7.27	3.41	6.87	6.46	7.89	3.01	4.74	1.05	5.7	6.86	1.68	7.36	1.73	7.9	0.82	6.53	1.59	2.01	8.43	3.69	6.48
gene41	8.32	1.63	5.77	3.79	8.14	6.24	7.62	3.42	5.46	3.84	9.28	1.77	0.88	3.96	3.05	2.93	2.82	6.22	0.6	5.88	4.97	2.89	4.33	0.2	8.24	9.66	4.33	2.78	6.83	4.83	9.97	0.36
gene42	6.25	9.6	6.93	1.66	5.56	5.27	7.53	8.61	0.42	8.67	7.37	5.05	3.74	9.43	0.02	7.06	0.46	1.9	3.19	7.86	5.54	0.85	2.08	5.13	1.92	2.39	5.64	6.56	3.99	2.62	6.79	0.26
gene43	2.61	1.61	5.12	7.18	2.03	6.72	7.74	3.26	1.6	9.91	8.66	6.1	1.27	0.43	5.96	3.7	0.3	9.02	2.06	6.37	1.73	0.53	6.04	4.03	9.15	0.18	5.85	0.2	9.29	6.68	6.45	6.97
gene44	5.17	8.01	6.71	3.3	1.7	8.05	3.64	9.99	3.21	3.15	9.22	6.74	5.37	8.73	1.01	2.99	0.45	8.06	2.73	6.15	1.88	2.39	8.62	2.41	7.2	1.38	6.56	1.64	1.7	0.63	3.48	3.68
gene45	1.28	0.45	6.56	7.48	2.55	6.29	2.66	0.72	1.69	3.53	6.11	5.07	3.4	4.06	8.62	3.72	4.67	4.11	5.73	9.59	4.41	1.65	6.98	3.18	5.61	4.8	2.34	5.18	8.8	9.22	3.08	8.61
gene46	3.23	9.02	2.9	7.2	2.27	9.81	7.26	0.96	2.21	2.54	2.27	6.29	0.66	0.31	4.12	2.43	1.38	2.23	3.94	1.53	0.23	1.27	0.08	8.24	4.88	6.37	4.08	1.15	8.12	0.32	6.38	3.19
gene47	6.9	0.18	9.72	7.5	9.33	6.98	1.95	1.59	4.9	0.54	4.3	9.87	2.71	1.58	1.51	2.24	8.84	6.36	6.09	2.35	9.3	6.98	3.2	7.91	2.08	9.76	3.5	9.29	0.55	3.54	3.24	9.19
gene48	8.46	8.72	0.76	7.02	1.48	6.35	6.48	6.55	6.26	3.6	8.33	3.93	5.18	9.93	1.89	9.52	3.2	1.62	5.5	7.68	8.31	0.31	8.18	6.55	8.88	5.19	8.11	9.31	8.3	3.0	3.19	2.08
gene49	9.44	7.65	8.64	9.39	6.06	8.51	2.07	0.62	2.66	3.65	1.76	7.98	2.69	5.34	9.75	0.81	7.36	0.12	9.69	5.61	5.27	2.22	3.76	5.18	2.22	4.74	8.69	2.91	1.29	4.44	2.01	2.4
