gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	0.37	0.6	2.42	1.05	3.27	8.14	2.83	4.83	2.96	0.55	2.67	8.09	7.13	3.93	0.86	9.21	5.77	8.85	1.72	4.24	8.9	6.26	9.74	1.5	1.97	5.73	6.01	1.18	1.99	0.86	2.8	1.84
gene1	5.68	6.62	9.12	6.04	6.95	1.99	9.49	8.5	0.06	2.95	7.83	9.86	3.6	0.12	8.81	5.04	1.63	6.24	9.01	6.48	8.63	9.12	2.28	3.74	1.62	6.21	1.3	3.56	4.91	2.45	1.01	2.95
gene2	8.42	1.49	3.54	8.36	2.98	3.22	0.53	5.12	2.63	3.12	8.83	2.5	0.77	7.86	9.54	4.04	0.56	2.81	0.46	6.44	1.29	7.0	3.56	3.74	2.7	3.64	1.47	8.56	6.96	0.77	0.0	6.7
gene3	0.99	1.15	4.62	0.36	0.69	5.19	6.66	3.24	3.96	9.75	7.97	1.77	5.87	1.28	6.97	4.18	3.33	3.75	4.49	5.18	4.88	2.69	1.63	1.36	3.22	5.55	2.69	9.67	4.45	6.21	5.87	7.49
gene4	4.47	7.52	1.92	6.08	5.72	2.8	5.74	4.46	5.68	7.56	0.27	9.06	5.98	8.66	1.49	8.02	4.47	0.34	9.17	6.05	8.31	3.71	6.24	0.17	7.87	7.35	2.32	7.18	8.91	8.18	2.27	9.05
gene5	1.02	6.33	0.34	0.14	1.76	2.0	7.09	7.15	2.48	7.78	3.38	4.22	7.75	3.46	6.52	7.0	4.32	3.79	1.56	0.83	8.05	1.77	5.43	4.97	4.57	3.33	6.2	6.43	2.51	9.48	2.27	1.31
gene6	5.64	0.23	2.38	8.57	5.32	9.45	6.81	9.32	4.36	0.08	2.11	7.56	6.74	6.55	5.75	6.49	9.07	5.91	7.04	9.84	8.22	8.92	3.85	7.34	9.53	8.1	8.14	2.53	9.15	9.28	4.41	5.95
gene7	9.13	9.18	7.15	0.15	4.89	1.44	9.26	7.65	8.32	3.11	6.26	8.95	2.49	5.97	1.18	5.41	9.59	6.64	1.49	1.05	3.95	7.97	8.07	2.36	1.69	1.09	2.78	4.33	9.03	6.68	0.76	3.89
gene8	7.71	7.06	0.1	7.15	2.64	1.05	7.39	8.68	7.63	8.41	9.58	4.05	9.78	7.76	8.97	1.43	0.55	0.8	2.13	0.93	9.13	3.72	8.94	7.93	5.51	8.79	3.8	1.04	8.67	7.59	8.92	2.39
gene9	9.43	7.76	9.27	5.04	3.57	1.0	0.81	6.28	3.51	9.18	1.02	4.49	5.52	0.69	1.17	8.58	9.36	6.67	4.64	1.37	3.57	3.69	8.74	0.56	7.71	0.71	5.66	6.7	6.59	6.44	2.64	0.97
gene10	1.35	6.19	9.75	6.22	6.57	6.65	6.4	3.75	3.58	7.05	7.59	9.49	5.01	5.49	9.17	1.95	3.22	8.11	2.12	7.51	7.12	1.82	2.94	6.4	0.12	3.32	9.2	1.37	9.97	0.64	1.75	3.83
gene11	7.58	1.71	7.96	9.29	1.77	1.83	9.35	0.52	3.56	2.94	8.78	8.33	3.82	8.81	1.77	7.8	1.18	9.05	9.28	5.59	3.47	1.84	9.8	9.32	7.13	7.26	9.36	6.82	2.15	5.27	8.16	6.51
gene12	8.42	8.9	7.38	8.4	5.91	5.66	8.99	9.55	3.61	9.91	5.47	5.09	8.12	2.77	6.32	6.29	9.33	7.3	9.68	7.98	3.43	3.41	7.93	1.39	3.03	9.1	1.32	7.71	5.11	6.23	8.49	5.48
gene13	2.87	1.77	1.9	9.95	1.49	5.2	7.96	5.87	7.23	1.34	1.86	2.47	1.46	6.7	0.76	2.69	8.42	0.93	1.85	7.3	8.03	3.75	2.12	2.2	6.89	6.75	9.94	9.77	1.26	8.22	1.15	2.81
gene14	5.71	5.23	3.81	9.02	2.25	8.45	6.13	1.96	1.37	0.4	4.41	5.5	3.82	7.15	1.48	0.64	4.67	5.17	5.66	3.75	0.87	9.9	4.43	0.99	6.23	9.65	7.8	8.26	1.15	4.82	7.4	8.42
gene15	6.67	7.04	2.07	2.0	5.38	9.76	1.43	9.59	5.93	7.28	6.57	8.3	3.34	0.36	0.44	5.03	1.57	4.13	1.12	2.11	5.45	9.95	4.32	0.36	4.5	5.33	1.81	1.13	4.61	4.16	8.09	9.15
gene16	6.18	3.29	7.7	8.76	8.63	0.9	0.6	1.7	2.24	8.3	0.87	9.13	1.46	5.54	4.54	0.63	2.79	9.35	6.46	2.42	4.25	6.89	6.4	1.46	5.74	5.08	6.62	7.48	3.87	8.0	7.74	4.12
gene17	4.75	5.59	0.55	4.31	1.09	4.36	5.33	3.9	5.06	7.48	0.55	7.25	8.47	3.69	9.64	8.54	8.19	6.37	5.04	0.09	3.72	4.53	8.14	1.28	3.14	9.92	4.47	7.13	6.78	8.25	0.6	7.78
