gene_name	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32
gene0	9.77	0.36	6.91	4.41	1.1	5.23	8.06	1.77	9.13	0.89	6.27	2.12	6.81	5.63	8.4	7.5	4.79	1.63	6.84	8.37	9.3	2.41	4.58	4.26	5.01	5.91	0.38	6.37	7.31	0.47	8.76	9.39
gene1	6.86	3.28	4.69	3.24	6.24	9.97	8.15	3.7	1.49	5.63	7.16	8.63	8.92	1.28	2.04	0.28	2.52	8.11	4.37	7.82	8.45	3.41	1.94	2.49	2.45	8.96	1.28	4.84	8.41	7.81	5.13	3.49
gene2	2.31	9.1	1.82	7.61	8.73	8.48	6.94	1.34	7.88	3.19	8.53	8.16	3.15	6.9	4.93	9.92	8.39	3.08	5.33	5.78	1.68	2.82	5.82	0.09	5.2	9.1	1.79	3.81	1.08	0.13	5.0	8.7
gene3	6.26	1.04	5.34	5.77	9.04	7.05	9.39	2.18	1.98	1.75	3.3	0.85	1.82	7.0	5.99	5.68	3.29	3.84	1.26	2.82	2.19	6.42	9.59	3.89	0.01	5.02	7.22	4.66	9.93	1.89	9.93	8.54
gene4	8.52	0.51	6.87	3.43	7.46	5.22	5.66	8.88	8.88	9.95	3.99	8.54	7.18	3.23	2.7	1.82	2.28	3.0	1.9	4.77	4.73	4.76	8.37	9.67	5.5	5.19	0.72	7.42	0.11	5.33	8.99	5.05
gene5	9.28	8.18	8.13	3.85	1.47	4.3	6.18	2.2	1.7	9.46	3.14	8.34	2.19	6.38	6.23	4.07	5.33	1.42	4.48	3.54	0.15	5.84	5.37	4.29	6.38	9.99	5.44	2.6	8.12	4.89	6.37	4.89
gene6	8.69	1.69	3.84	7.53	4.82	8.65	5.18	1.88	1.33	1.06	1.67	1.55	0.73	6.9	1.62	7.11	3.09	7.83	8.68	1.16	5.79	8.31	7.85	5.15	9.01	6.5	4.35	9.97	0.43	5.82	9.72	2.84
gene7	5.94	5.9	7.94	1.68	8.27	8.18	7.09	7.45	6.47	0.76	2.99	5.92	8.68	4.86	6.22	7.63	3.16	3.49	5.98	3.7	5.8	0.1	2.8	5.55	0.08	7.15	8.68	6.2	5.08	1.47	5.89	9.32
gene8	4.94	5.66	6.68	3.18	0.55	9.13	5.99	2.03	2.92	7.14	6.98	6.22	5.96	1.69	0.46	8.92	9.0	3.59	1.46	7.15	1.07	6.43	7.26	0.99	9.94	6.83	4.98	2.6	7.82	1.93	1.93	1.5
gene9	3.5	6.98	3.35	9.84	9.54	0.81	8.46	1.42	0.45	9.31	2.46	5.65	7.53	7.67	0.22	3.58	1.77	5.79	4.09	9.39	7.24	9.5	0.73	2.96	2.59	2.56	8.38	1.22	7.33	3.39	5.14	4.74
gene10	0.55	3.46	1.48	0.99	2.74	9.7	2.44	2.06	4.08	9.02	5.26	6.48	4.02	8.61	8.46	4.87	8.86	2.65	7.36	9.42	6.33	7.3	4.87	6.51	8.55	0.28	0.05	2.26	0.01	5.27	9.85	4.72
gene11	0.64	5.55	4.37	1.32	8.4	4.48	7.08	2.76	5.91	1.06	7.54	5.55	4.08	8.89	9.98	4.93	9.7	8.59	7.71	9.59	0.06	2.42	3.38	8.67	6.27	8.62	4.27	7.15	7.68	0.76	5.63	1.33
gene12	3.12	7.27	7.83	3.86	6.18	2.16	8.49	4.62	6.06	4.59	2.62	1.29	2.76	4.2	7.71	7.57	0.8	3.45	9.28	8.67	8.63	9.74	3.7	1.56	7.97	4.93	1.21	6.99	3.29	2.5	1.8	4.54
gene13	2.14	8.19	9.39	5.16	1.18	8.97	6.1	2.22	2.31	6.08	3.28	1.59	3.03	4.46	2.83	8.83	0.22	3.22	6.97	6.37	5.0	5.79	6.72	4.58	3.33	7.77	3.31	6.21	4.29	2.05	2.48	5.75
gene14	1.68	2.23	3.78	6.93	4.98	7.41	2.45	3.61	8.78	1.32	6.75	3.75	9.37	6.71	0.86	3.35	5.56	1.3	8.83	9.5	2.5	5.31	8.35	2.48	5.23	3.68	5.84	0.81	9.07	8.11	0.15	9.72
gene15	4.36	0.27	0.52	6.2	8.07	3.24	1.51	0.38	2.64	4.37	7.57	8.82	8.63	6.32	8.99	7.74	9.43	9.4	7.73	7.99	2.32	9.94	1.87	8.12	6.29	3.57	0.64	2.15	8.95	5.23	4.11	7.82
gene16	2.46	2.77	5.31	9.19	9.24	2.42	3.32	5.3	1.64	3.61	0.46	1.61	7.2	7.72	9.11	6.95	9.69	8.01	1.85	1.22	6.33	3.87	1.54	7.62	2.87	1.46	2.49	4.86	8.93	6.2	6.0	9.37
gene17	2.77	6.16	1.86	8.16	5.17	5.23	5.21	2.19	7.76	9.53	9.68	8.06	8.5	1.82	5.83	3.59	0.61	6.15	8.28	5.39	2.34	9.54	4.18	7.04	2.96	7.02	2.58	7.92	0.08	2.54	8.56	2.77
gene18	6.01	7.73	4.66	2.5	3.94	8.78	1.8	7.58	8.9	0.74	0.71	8.74	1.45	3.76	9.03	7.67	0.77	0.48	6.49	4.23	9.33	9.05	5.03	4.37	9.15	2.82	2.26	5.13	3.95	4.78	4.11	1.88
gene19	3.27	1.1	5.97	6.41	9.98	8.5	6.42	0.32	3.28	3.72	5.66	6.56	6.41	6.67	8.86	1.82	2.88	2.06	5.27	3.96	6.85	1.85	4.13	9.34	3.82	4.43	9.38	4.49	6.41	3.02	5.93	1.19
gene20	1.91	3.1	4.07	8.13	1.27	4.72	0.36	3.9	7.11	0.41	7.46	3.49	1.91	7.95	4.64	2.04	3.93	4.97	4.15	2.45	1.5	9.41	9.03	4.75	3.45	8.19	6.51	0.55	3.45	6.75	9.75	1.91
gene21	0.66	6.74	3.33	6.5	9.23	8.71	0.06	2.04	5.9	5.97	5.24	3.65	9.79	1.74	9.05	8.52	5.46	1.01	0.55	2.81	1.28	1.92	8.16	1.52	1.63	8.69	5.85	8.23	6.56	2.57	1.75	2.87
gene22	8.08	7.43	2.08	1.07	2.29	7.54	6.08	6.0	1.67	3.02	4.24	0.82	9.51	8.96	5.13	1.41	0.22	0.45	4.9	0.58	8.16	2.01	3.1	1.53	3.92	5.72	4.16	9.11	4.68	3.83	4.16	7.51
gene23	5.53	8.79	8.74	7.43	1.29	4.54	4.63	9.18	2.55	6.47	9.58	4.07	4.97	5.62	8.81	1.44	2.91	8.5	8.18	6.09	7.19	6.89	2.79	4.57	2.84	6.42	4.57	5.7	8.63	4.64	0.66	2.11
gene24	7.5	5.28	8.38	7.49	4.27	6.22	1.82	8.76	2.09	5.68	4.45	8.46	7.18	4.93	6.2	5.27	4.64	4.12	2.91	0.29	1.34	2.27	8.89	9.65	2.23	2.19	3.44	5.89	3.71	1.08	1.81	0.48
gene25	4.43	3.75	8.79	6.6	9.5	3.5	8.66	2.53	4.17	7.6	9.01	0.55	2.0	4.19	5.09	8.08	2.22	1.28	3.89	5.81	7.49	3.68	7.48	8.07	2.1	0.45	0.66	8.07	6.03	6.11	1.65	8.67
gene26	5.98	1.54	6.77	2.91	4.47	0.71	1.43	5.53	0.12	1.65	5.31	8.32	4.99	0.44	2.34	7.34	3.3	1.94	1.11	1.13	6.72	2.28	2.53	6.84	4.48	8.63	1.9	7.88	2.1	2.34	6.03	3.41
gene27	6.47	5.83	8.79	8.54	2.83	7.3	6.25	4.5	5.47	3.05	5.51	3.81	6.64	7.58	5.12	9.29	6.59	4.42	0.45	6.51	3.05	3.16	4.6	6.98	1.25	2.52	9.33	3.11	5.08	0.87	9.73	7.22
gene28	1.36	0.92	9.16	9.63	4.93	2.77	5.97	8.93	3.53	4.22	2.04	1.87	0.83	1.37	7.19	9.25	7.19	2.21	9.7	8.56	1.16	5.95	6.73	0.12	2.06	3.3	4.25	9.66	4.12	7.63	9.36	3.24
gene29	7.46	8.35	7.29	5.91	4.13	8.45	8.94	4.03	3.48	7.93	2.81	6.15	5.49	6.11	4.73	4.19	5.82	2.37	5.67	2.31	2.53	8.08	6.88	5.34	5.06	8.46	5.41	1.43	0.72	7.71	6.98	0.18
gene30	7.68	7.41	8.72	9.1	2.95	7.69	0.66	2.26	2.89	9.57	5.2	1.31	2.94	9.8	4.57	7.53	5.67	3.46	4.58	8.18	7.17	7.71	6.64	7.92	3.71	5.01	4.02	1.38	6.14	5.64	6.68	1.92
gene31	3.08	3.49	9.58	1.07	4.0	5.64	0.23	7.31	8.08	1.81	3.51	4.72	6.95	0.44	8.62	7.11	7.38	9.68	7.45	4.55	8.92	8.33	7.85	7.98	5.07	9.69	7.91	5.45	9.24	1.12	0.98	5.33
gene32	8.4	5.79	5.68	6.28	6.33	2.76	4.78	1.01	3.73	1.83	6.74	2.45	2.52	9.63	0.42	1.52	6.51	8.47	8.33	4.29	6.85	4.46	0.68	8.84	5.69	5.44	9.23	0.45	7.77	7.32	7.09	5.69
gene33	0.68	5.43	2.75	4.92	8.8	2.59	4.76	8.9	0.31	6.31	5.35	0.39	7.14	4.86	9.42	8.61	8.72	6.88	0.79	1.67	2.0	9.88	7.4	7.24	8.69	6.24	9.9	5.18	4.11	3.92	0.5	6.89
gene34	4.42	6.43	6.64	7.01	3.99	4.99	4.87	1.46	10.0	5.08	9.16	8.41	7.08	5.23	4.84	2.85	5.0	0.87	1.0	2.59	0.68	8.44	9.1	1.07	2.09	4.1	1.6	5.55	2.33	8.1	9.76	0.31
gene35	3.66	9.46	0.42	8.16	0.54	5.74	2.97	9.27	6.06	8.39	0.45	2.12	8.43	5.8	2.73	6.39	4.15	0.1	9.95	9.16	2.52	6.15	5.79	0.69	7.56	4.44	4.99	0.57	2.85	7.3	9.32	5.45
gene36	7.2	1.51	7.26	9.1	6.87	7.1	9.6	8.46	2.99	0.38	7.24	9.04	8.69	8.97	2.35	5.53	4.53	5.32	9.86	7.65	0.59	3.13	8.88	9.76	0.52	0.32	1.68	9.43	9.24	2.26	3.23	7.15
gene37	0.64	3.01	5.94	1.58	1.72	6.44	2.43	9.43	4.68	9.52	5.85	2.01	7.22	3.3	2.54	9.63	3.98	2.32	9.3	1.83	6.76	0.43	7.42	9.54	1.65	0.79	3.03	6.05	2.78	8.36	5.92	1.16
gene38	9.14	9.35	6.85	5.41	8.73	4.99	7.01	3.54	8.29	8.98	7.27	6.47	4.52	0.34	2.91	1.03	3.8	6.61	7.6	8.67	6.95	1.39	5.16	7.85	8.36	4.97	7.26	3.69	8.59	1.67	9.11	7.69
